clone.id	gene.name	unigene.id	genbank.acc
292171		Hs.157148	N62451
309288	RFC4	Hs.35120	N93924
280375	PRO2000	Hs.46677	N47113
1646048	ECT2	Hs.132808	AI031571
884364		Hs.165909	AA629538
510060	PCF11	Hs.123654	AA053411
201890	BIRC3	Hs.127799	H48533
1554469		Hs.326451	AA931528
811918	KIAA0952	Hs.7935	AA454989
950890	KIF5B	Hs.149436	AA608707
243727	DKFZP566C134	Hs.20237	N39306
129858	ANLN	Hs.62180	R17092
194236	ORC1L	Hs.17908	H51719
108425		Hs.14139	T77757
544502	IFIT1	Hs.20315	AA074989
811832	MGC5338	Hs.99598	AA463627
360436	COPEB	Hs.285313	AA013481
295729	UK114	Hs.18426	N72715
229560		Hs.265592	H67282
878640	HMG4	Hs.19114	AA670197
1858169	MDS025	Hs.154938	AI225067
246881	DKFZP564A122	Hs.187991	N53236
868630	TSC22	Hs.114360	AA664389
1473682	AAAS	Hs.125262	AA916726
767638	PLAG1	Hs.14968	AA418251
196569	FLJ23293	Hs.31236	R91583
359191	H11	Hs.111676	AA010110
825265	POLD3	Hs.82502	AA504204
727147	SERPINB3	Hs.227948	AA292860
730555	DNAJB1	Hsp40)	homolog,
810818		Hs.99480	AA458886
742952	BUB3	Hs.40323	AA405690
303099		NA	NA
1636876	TUBB2	Hs.251653	AI000256
181831		Hs.293441	H28469
191904	BUB3	Hs.40323	H38804
810981	FLJ20699	Hs.15125	AA459420
278243	KIAA0013	Hs.172652	N63575
264502		Hs.20575	N20305
415102	CDC25C	Hs.656	W95000
726588	FLJ11186	Hs.89278	AA394225
785368	TOPK	Hs.104741	AA448898
1416055	KIAA0165	Hs.153479	AA948058
1600239	LOC51659	Hs.108196	AA961752
753028		Hs.10338	AA436456
814234	SUCLG2	Hs.247309	AA465233
786592	ZNF265	Hs.194718	AA452256
130824	SKP2	Hs.23348	R22188
841226	NS1-BP	Hs.197298	AA486796
731292	C21ORF50	Hs.4055	AA416628
448190	BIRC2	Hs.289107	AA702174
428231	BIRC3	Hs.127799	AA002125
740925	INDO	Hs.840	AA478279
121857	DEEPEST	Hs.16244	T97349
925762		Hs.105826	AA534321
2308994	C20ORF1	Hs.9329	AI654707
139705		Hs.28465	R63929
2017403	RGS3	Hs.82294	AI369623
625693		Hs.85573	AA186460
855390	MCM6	Hs.155462	AA663995
701625	NPAT	Hs.89385	AA284172
742798	KNSL6	Hs.69360	AA400450
795803	HN1	Hs.109706	AA459865
1470060	TUBA3	Hs.272897	AA865469
245986		Hs.221197	N55457
1517595	KIAA0175	Hs.184339	AA903137
1475463	CLASPIN	Hs.175613	AA857804
366558	CTNNA1	Hs.178452	AA026631
1011581		Hs.221962	AA229644
786504	SMC4L1	Hs.50758	AA452095
366414	ICBP90	Hs.108106	AA026356
447208	EXO1	Hs.47504	AA703000
111812		Hs.181466	T84975
452363		Hs.186814	AA700879
137655	FLJ11269	Hs.25245	R37817
773254	SFPQ	Hs.180610	AA425258
594286	ZF	Hs.29417	AA164474
745138	TUBA2	Hs.98102	AA626698
309603		Hs.25700	N94435
773345	FLJ20530	Hs.279521	AA425442
302549	BTEB1	Hs.150557	N80235
193883	LOC51053	Hs.234896	H51100
2018941	D21S2056E	Hs.110757	AI362799
253009	HDAC3	Hs.279789	H88540
489595	USP1	Hs.35086	AA099033
502396	C21ORF50	Hs.4055	AA135912
120749	FLJ13046	Hs.117102	T95333
1486028		Hs.181059	AA912032
758332	FLJ22009	Hs.123253	AA401234
509462		Hs.62711	AA056377
26997	RAD51C	Hs.11393	R37145
202704		Hs.268919	H53508
1468466		Hs.127797	AA885096
502142	SAP30	Hs.20985	AA126982
1461138	H4FG	Hs.46423	AA868008
612274	TUBA1	Hs.75318	AA180742
123971	DHFR	Hs.83765	R00884
244205	DHFR	Hs.83765	N52980
1579997	MGC5528	Hs.315167	AA934904
85840	NNMT	Hs.76669	T72089
2307420	TUBB	Hs.179661	AI672565
50615	HSPA1L	Hs.80288	H17513
38816	TUBA1	Hs.75318	R36063
170	PRO1073	Hs.6975	AA176999
1636288	POLD3	Hs.82502	AI017254
244058		Hs.47378	N38809
2238788		NA	NA
246661	DKFZP564A122	Hs.187991	N57723
111981	LRRFIP1	Hs.326159	T84633
594693		Hs.55468	AA165312
124829		NA	NA
50227		Hs.31444	H16772
142122	AFAP	Hs.80306	R69355
79629	CXCR4	Hs.89414	T62491
1156515	MSH2	Hs.78934	AA679697
289847		Hs.48474	N62074
454469		NA	NA
884653		Hs.23189	AA629908
233365	HP1-BP74	Hs.142442	H79795
810947	FLJ20101	Hs.263925	AA459394
782362		Hs.321775	AA431268
1623191		Hs.265592	AA992658
130204		NA	NA
741841	DDX11	Hs.27424	AA402879
109708	CDC27	Hs.172405	T81764
301995	ARGBP2	Hs.278626	N89738
366389	DKFZP564A122	Hs.187991	AA025807
504461	OPN3	Hs.279926	AA150060
813171	DKFZP566C134	Hs.20237	AA456319
49356	KIAA0855	Hs.182982	H15101
853938	PIN	Hs.5120	AA644679
511901		Hs.68864	AA088857
1564300	HDAC3	Hs.279789	AA973283
752770	DONSON	Hs.17834	AA417895
813586	LOC51053	Hs.234896	AA447662
796623	FLJ10545	Hs.88663	AA460110
814701	MAD2L1	Hs.79078	AA481076
47096	TASR2	Hs.3530	H11042
246659	MCM6	Hs.155462	N57722
343562	CIT	Hs.15767	W69425
713873		Hs.205066	AA284803
145112	ICAM1	Hs.168383	R77293
815550	KIAA0855	Hs.182982	AA456818
128202		Hs.300070	R10422
