UpperName	miRGate.name	Accession	Name
HSA-MIR-329-5P	hsa-mir-329-5p	MIMAT0026555	hsa-miR-329-5p
HSA-MIR-494-3P	hsa-mir-494-3p	MIMAT0002816	hsa-miR-494-3p
HSA-MIR-543	hsa-mir-543	MIMAT0004954	hsa-miR-543
HSA-MIR-654-5P	hsa-mir-654-5p	MIMAT0003330	hsa-miR-654-5p
HSA-MIR-654-3P	hsa-mir-654-3p	MIMAT0004814	hsa-miR-654-3p
HSA-MIR-1185-1-3P	hsa-mir-1185-1-3p	MIMAT0022838	hsa-miR-1185-1-3p
HSA-MIR-1185-2-3P	hsa-mir-1185-2-3p	MIMAT0022713	hsa-miR-1185-2-3p
HSA-MIR-381-3P	hsa-mir-381-3p	MIMAT0000736	hsa-miR-381-3p
HSA-MIR-539-5P	hsa-mir-539-5p	MIMAT0003163	hsa-miR-539-5p
HSA-MIR-134-3P	hsa-mir-134-3p	MIMAT0026481	hsa-miR-134-3p
HSA-MIR-485-3P	hsa-mir-485-3p	MIMAT0002176	hsa-miR-485-3p
HSA-MIR-154-3P	hsa-mir-154-3p	MIMAT0000453	hsa-miR-154-3p
HSA-MIR-377-3P	hsa-mir-377-3p	MIMAT0000730	hsa-miR-377-3p
HSA-MIR-369-3P	hsa-mir-369-3p	MIMAT0000721	hsa-miR-369-3p
HSA-MIR-203A	hsa-mir-203a	MIMAT0000264	hsa-miR-203a
HSA-MIR-211-3P	hsa-mir-211-3p	MIMAT0022694	hsa-miR-211-3p
HSA-MIR-627-5P	hsa-mir-627-5p	MIMAT0003296	hsa-miR-627-5p
HSA-MIR-627-3P	hsa-mir-627-3p	MIMAT0026623	hsa-miR-627-3p
HSA-MIR-628-5P	hsa-mir-628-5p	MIMAT0004809	hsa-miR-628-5p
HSA-MIR-2116-3P	hsa-mir-2116-3p	MIMAT0011161	hsa-miR-2116-3p
HSA-MIR-190A-5P	hsa-mir-190a-5p	MIMAT0000458	hsa-miR-190a-5p
HSA-MIR-629-3P	hsa-mir-629-3p	MIMAT0003298	hsa-miR-629-3p
HSA-MIR-9-5P	hsa-mir-9-5p	MIMAT0000441	hsa-miR-9-5p
HSA-MIR-193B-5P	hsa-mir-193b-5p	MIMAT0004767	hsa-miR-193b-5p
HSA-MIR-6511A-5P	hsa-mir-6511a-5p	MIMAT0025478	hsa-miR-6511a-5p
HSA-MIR-6511A-3P	hsa-mir-6511a-3p	MIMAT0025479	hsa-miR-6511a-3p
HSA-MIR-6511A-5P	hsa-mir-6511a-5p	MIMAT0025478	hsa-miR-6511a-5p
HSA-MIR-6511A-3P	hsa-mir-6511a-3p	MIMAT0025479	hsa-miR-6511a-3p
HSA-MIR-6511A-5P	hsa-mir-6511a-5p	MIMAT0025478	hsa-miR-6511a-5p
HSA-MIR-6511A-3P	hsa-mir-6511a-3p	MIMAT0025479	hsa-miR-6511a-3p
HSA-MIR-328-3P	hsa-mir-328-3p	MIMAT0000752	hsa-miR-328-3p
HSA-MIR-328-5P	hsa-mir-328-5p	MIMAT0026486	hsa-miR-328-5p
