UpperName	miRGate.name	Accession	Name
HSA-MIR-129-2-3P	hsa-mir-129-2-3p	MIMAT0004605	hsa-miR-129-2-3p
HSA-MIR-1292-3P	hsa-mir-1292-3p	MIMAT0022948	hsa-miR-1292-3p
HSA-MIR-1292-5P	hsa-mir-1292-5p	MIMAT0005943	hsa-miR-1292-5p
HSA-MIR-1293	hsa-mir-1293	MIMAT0005883	hsa-miR-1293
HSA-MIR-1295B-3P	hsa-mir-1295b-3p	MIMAT0022294	hsa-miR-1295b-3p
HSA-MIR-1295B-5P	hsa-mir-1295b-5p	MIMAT0022293	hsa-miR-1295b-5p
HSA-MIR-1296-5P	hsa-mir-1296-5p	MIMAT0005794	hsa-miR-1296-5p
HSA-MIR-1299	hsa-mir-1299	MIMAT0005887	hsa-miR-1299
HSA-MIR-1301-3P	hsa-mir-1301-3p	MIMAT0005797	hsa-miR-1301-3p
HSA-MIR-1302	hsa-mir-1302	MIMAT0005890	hsa-miR-1302
HSA-MIR-1306-3P	hsa-mir-1306-3p	MIMAT0005950	hsa-miR-1306-3p
HSA-MIR-1306-5P	hsa-mir-1306-5p	MIMAT0022726	hsa-miR-1306-5p
HSA-MIR-1307-3P	hsa-mir-1307-3p	MIMAT0005951	hsa-miR-1307-3p
HSA-MIR-130A-5P	hsa-mir-130a-5p	MIMAT0004593	hsa-miR-130a-5p
HSA-MIR-1321	hsa-mir-1321	MIMAT0005952	hsa-miR-1321
HSA-MIR-1324	hsa-mir-1324	MIMAT0005956	hsa-miR-1324
HSA-MIR-133A-5P	hsa-mir-133a-5p	MIMAT0026478	hsa-miR-133a-5p
HSA-MIR-1343-3P	hsa-mir-1343-3p	MIMAT0019776	hsa-miR-1343-3p
HSA-MIR-1343-5P	hsa-mir-1343-5p	MIMAT0027038	hsa-miR-1343-5p
HSA-MIR-134-3P	hsa-mir-134-3p	MIMAT0026481	hsa-miR-134-3p
HSA-MIR-135A-3P	hsa-mir-135a-3p	MIMAT0004595	hsa-miR-135a-3p
HSA-MIR-136-3P	hsa-mir-136-3p	MIMAT0004606	hsa-miR-136-3p
HSA-MIR-136-5P	hsa-mir-136-5p	MIMAT0000448	hsa-miR-136-5p
HSA-MIR-138-5P	hsa-mir-138-5p	MIMAT0000430	hsa-miR-138-5p
